15,冰雪的梦,回复 @***:这样啊。原谅我太肤浅无法理解，站在现实的角度
14,出售旧空调冰箱原子弹,刚起床。。看到回复了！亲情 友情 爱情 我们最常认知的3种人类情感，相对应的也就是父亲 恩佐 女主的3种感情。电影1988年拍摄！二战之后欧洲经济强势复苏，八十年代末经济增长相对停滞！所以出现了反思自然与发展矛盾性和共存性的热潮，说白了也就是一味强调发展对自然带来了太多伤害的反思热潮！所以这也是吕克贝松公开表示最得意的作品
13,冰雪的梦,回复 @*** :好高端，好像男主不是人一样。。。但是还是为女主感到可怜
12,盯着台灯的开关,虽然文艺气息十足但是 我还是要说 我非常讨厌这部电影特别是这部电影表达的价值观 如果说死亡诗社和超脱的价值观处于危险的边缘的话那么碧海蓝天的价值观简直是一种毁灭 男主角就是放弃了思考的典范 1爱大海与爱人鱼有什么特殊的地方么答案是没有爱大海潜水人鱼blahblah跟爱山爱星空爱纯洁的妹子爱孤独等等并没有什么本质上的区别 所以本质是什么呢？ 无非是男主爱上了超越人类本身的价值 男主爱上了这种能够足够了解足够安全（这里的安全值得是对自身状况的全盘掌控，甚至掌控死亡的节奏）的感觉罢了 想一想海里面有什么？人鱼真的存在？ 都只是存在于男主头脑中的意象罢了 但是问题就是意象是能够追求或者说能够追求的到的么？答案是不能 能追求到的就不是意象了 然而真正海一般的深沉存在于哪里呢 请移步冰人 这里面的男主拥有的便是海一般的深沉的爱与精神原则 这才是人类能够追求的精神价值 而男主这种自毁的行为先不谈他还毁灭了女主一般的生活 单单对自己来说也是对现实的绝望与对绝望的逃避而已男主其实也是意识到自己并不能在现实中追求到这种东西的绝望下 开展了最愚蠢的行为 你不是海自然不能成为海 但是你也不能成为还的一部分 男主融入海洋成为海洋的灵魂的一部分活着什么什么的都只是妄想而已 男主成为的只是海底的骨头和鱼儿的饲料而已 大海的深沉所在我认为便在于无条件的沉默与冷酷 而人面对社会的态度也可以如此 社会冰冷的面对你 你也冰冷的面对社会 然后人利用好自身的理性与智力 尽力使自己和家人也许还有旁人得到幸福 这才是人生的价值 这样的人才是真正跟大海一样宽广深沉的人 而不是男主这样的蠢b和懦夫 
11,出售旧空调冰箱原子弹,因为他是属于自然的 所以要回归自然！向大海去了 可以理解为自杀！但是电影告诉我们的不是这个！
男主 只是大自然的具体形象化的产物，只是象征自然的一个符号！ 你再看一遍电影！你把男主看成象征大自然！之后再去看待他和女主的关系 对话 感情 再去看待他和恩佐的关系 对话 感情！就会有新的感悟！这也是为什么最后女主说了：go my love! 因为大自然不能被我们自私的占有 无论我们多么爱它 或者它对我们多么重要！尘归尘 土归土，它始终属于自然
10,尽水中来,阿婆主深交吗！！！戴涵涵也我老公！！！！头像gakki也我女神wwwww
9,夕阳不见西洋,取景给一万个赞

8,Vasisi,B站不能站短吗，我想跟阿婆主有更加深入的交流~
7,冰雪的梦,我能说我没看懂吗，不理解男主最后为什么还要下海，而且什么意思最后男主还活着吗

6,五叶盗贼团,潜水痛苦 是因为找不到上浮的理由
5,老茶树菇,这样的男人是很有魅力  很迷人  但是爱上这样只在自己的世界不愿意出来的人  结果只有受伤   所谓过及必伤  情深不寿 若是想要陪伴的幸福   还是需要普通一些呀    
4,春哥的绯闻基友,当年连续看了三四遍，越看越能理解男主最后的选择，关键是无可奈何的女主非常非常伟大！
3,英雄王小J,我擦，看了十几分钟，还以为是《碧血长天》。记错名字了
2,朝闻夕改,最重温一遍
1,seven820620,Kanpur ?
