136,蓝先生丶,好喜欢这种欢乐的电影
135,紫蝶の,回复 @金光闪闪的三文鱼 :233333
134,姜尼诺,滚开流氓(⌒▽⌒)
133,BENEDICT康伯啪奇,aaaa好喜欢他俩！！！而且好想要后面那几张海报的高清版！！我要换锁屏！一天一张！！！xxx
132,灰化灰黑化肥会挥发黑,看喜剧都有喷子要疯，喷子真可怜，你的人生还真是无时不刻都在愤怒和为了存在感挣扎（￣▽￣）
131,本质樱推,（￣▽￣）
130,momochaliang,本来想重温乐一下 怎么多了那么多喷胖子的？ 这集明显主渣钱宁 还喷胖子是不是太双标了点
129,toshiyabb,据说有3据说有第三部的！！
128,Shonni,结尾哈哈哈哈哈哈哈哈哈哈哈
127,HoleToAnotherUniverse,觉得钱老板和金发少年其实很配哈哈哈哈哈哈哈
126,布丁lin,这片子有几段被删了！！！_(:3」∠)_
125,SiderZ,卡的受不了
124,Aankh,→_→这种基基的片子我最喜欢了ε=ε=(ノ≧∇≦)ノ
121,dengguai,哈哈哈哈哈卧槽片尾
120,糙匝料032,大龄校园同性恋爱片.Q.Q.裙：4.16702705
118,我爱吃蛋炒饭i,你们真的不要在一起吗
117,我爱吃蛋炒饭i,(;¬_¬)撞
116,名器证明,片尾才是正片
115,紫蝶の,我想跟你生个孩子(°∀°)ﾉ
114,隔壁ACFUN,i'm late
113,Morochi,ED太高能
112,不好有怪兽,这一阵很流行jeff梗2333333 来刷一下
my names jeff
111,KendallJenner,卡得完全看不了
109,好喝の椰子,太卡了，一直在卡，进度条都跳完了还是卡

108,奥德萨子爵,卡得完全看不了
107,喵喵吗丶,真TM帅。我的JJ
106,kclwp居然已经存在啦,这TM就是一部钙片！
105,RRRRRoir,哈哈哈哈哈哈 简直停不下来，看我的八块腹肌人鱼线！
104,freedom晴空,轰雷谢特哈哈哈哈哈哈哈哈
103,FLORAJ95,今年最好的喜剧片
102,哈哈二姨爹,第二部延续了第一部基的无法直视的优良传统
101,hi！熊,你敢拍下去，我就敢看下去~23333
100,春哥是我的菜,2333333333333333
99,TigerSHe小蛇,我找到了！

01. Wiz Khalifa - Work Hard, Play Hard************ 
02. Duck Sauce - NRG (Skrillex, Kill The Noise, Milo &amp; Otis Remix)
03. Bingo Players - Get Up (Rattle) (Feat. Far East Movement)
04. Tiesto - Wasted (Feat. Matthew Koma)
05. Shermanology &amp; GRX - Can't You See************ 
06. Blind Scuba Divers - Models &amp; Bottles*********   
07. Blind Scuba Divers - Check My Steezo************08. Flosstradamus - TTU (Too Turnt Up) (Feat. Waka Flocka Flame)
09. Nacey - I Own It (Feat. Angel Haze)
10. Diplo - Express Yourself (Feat. Nicky Da B)
11. Steve Aoki, Diplo &amp; Deorro - Freak (Feat. Steve Bays)
12. Angel Haze - 22 Jump Street (Theme From The Motion Picture) (Feat. Ludacris)
13. Travis Barker - Live Forever (Feat. Juicy J &amp; Liz)

链接: http://pan.baidu.com/s/1jGFVQqa 密码: 4j4c
顺手接力一下吧(=・ω・=)
98,TigerSHe小蛇,求片内所有出现的BGM_(:3」∠)_
97,我从何来,现在想都是中二病
96,yangxi4379,首次打卡
95,为了投硬币,哈哈哈哈哈卧槽
94,jeeklook,想起了上学时到庙里和几个同学拜把子。呵呵
93,闷声赚大钱,层主能指导一下片尾曲是什么么很喜欢但是搜不到名字(´･_･`)
92,SHolmes,看不起蓝翔是不是
91,古迹复苏,什么时候去蓝翔XDD
90,邮电,看完2的可以看看1也特别逗
89,诚实的欺诈师丨笛,去年在飞机上看完第一部 一直想知道叫什么 居然在b站看到第二部
88,娑罗双树.半枯半荣.娑罗花开.盛者必衰.,大龄校园同性恋爱片.
87,funnything,笑尿了
86,金坷垃2333333,笑了

85,no、失落,b站大法好，up大法好
84,竹诗凝爱,先收藏再看
83,当红炸子鸡,男神一生推！发福也要推！
82,xiaobaisaikouda,还不错。映画、
81,mirrormirrorfake,看了这个想再去看一遍惊天危机 发现没有了 哪位好心的阿婆主再传一下啊
80,1333369,(&amp;lt;_&amp;lt;)
79,茶托托,超级好笑的片真逗

78,她城落雨Via,好好看
77,沾衣十八喋,預算都燒在片尾系列
76,她城落雨Via,好卡
75,ruan_sun,.................(=・ω・=)
74,宇田君,太搞笑了我笑了好多回哈哈哈哈哈哈哈哈哈哈哈
73,外星人2号,诚挚地感谢up主，提供这么好的电影。已投币。
72,外星人2号,此电影为百大Dj宣传片，鉴定完毕，结尾的战斗就是迈阿密UMF电音节现场。
71,外星人2号,我操，82分12秒，电影《舞出我人生4》BGM的制作人兼Dj  Diplo友情乱入！
70,外星人2号,Bgm太赞，dj snake，skrillex，tiesto，bingo playees，deadmau5，等等，世界顶级DJ全明星阵容，导演是有多爱百大Dj，这片必须收藏，可惜我是想顶也没硬币了。
69,外星人2号,我擦，还有Skrillex的歌，此片堪称电子舞曲精选集。
68,外星人2号,我去，开场就是Dj Snake的Trap舞曲，完了紧接着弗拉门戈吉他曲，都他妈我的最爱。
67,麻婆俺の嫁,不错 有时间把第一部也补了 出第三部的话就牧师装吧这个帅
66,美津濃スズキ,自古红蓝……
65,西恩多格,约吗，，
64,十方无敌喻小帅,这么逗的片子我居然今天才知道！(〜￣△￣)〜
63,漠言MoYan,太逗了，笑的肚子痛233
62,Carmen阿咖,全片高能，包括结尾彩蛋
61,煎豆,片尾彩蛋好棒啊
60,我的膝盖中了一箭,回复 @大伟g呵呵 :哇~
59,Arschloch型野分痴,好片子 绝对值得看
58,FangsYzz,有第二部啊！
57,夏末秋初98,约吗。。。。
56,柚子君SAMA,楼上约吗
55,饥渴的胖鸮,非法贩卖移动wifi╮(￣▽￣)╭
54,ObscureRider,还以为黑衣人
53,古墓然并卵,好搞笑233333
52,我吃的人都像你,(´･_･`)
51,guantlizzer,G

50,蛋蛋 °,结尾信息量太大hhhhhh
49,嫉妒之星,(｀・ω・´)我去，最后这是怀上了的节奏吗
48,一个小屁孩,终于……
47,瓜。,我擦！！终于有了啊！！感动哭
46,月洒昆仑,阿姆和卡卡是什么意思
45,BOBO- 弟,最后的BGM有谁知道是什么吗
44,日耳曼熊孩子,看完了1，现在看2，片尾都出了百十部了
43,木落天晴,看到彩蛋笑了
42,绷带Winchester,彩蛋信息量太大(ﾟДﾟ)ﾉ
41,小虾仔,看来这个系列不出个百把部收不住啊
40,江户川乱来,依旧那么搞笑
39,Nzlboss,我想说，他们的幽默方式，我貌似不太接受。
38,一yucy,这个看过啦！！！是翻拍吗？！
37,New world,永远卡在12秒
36,不知死活的蛋,_(:3」∠)_
35,sadlands悲伤之地,如何锻炼腹肌……
34,FOORU,哇！！！！出啦！！！
33,从A到D,挂了好像，昨天晚上还能看的，起来打算接着看下去，然后挂掉了
32,小蜡笔新,在逗B的道路上越走越远了
31,撸撸啊,挂了。。
30,帰蝶喵,围观～
29,宅宅们有人爱,该怎么评价这俩人。。。。分不清谁是猪队友了
28,狼托克,不是基佬，甚似基佬！╮(￣▽￣)╭
27,大伟g呵呵,还有tiesto(〜￣△￣)〜
26,我望地球,笑喷了~没比第一集差~
25,我的膝盖中了一箭,这电影的BGM全是EDM我去...又是dillon francis 又是zedd 太多太多....
24,冤枉的铜锣烧,结尾彩蛋一定要看
23,耳边惊悚故事,最后的彩蛋，笑尿了。。。。那哭泣的抽搐样。
22,realrooney,哪里能下载呢
21,地球战士,龙虎少年队666Σ( ￣□￣||)
20,asnbbq,直接就投硬币(･∀･)
19,葫芦葫芦虎,卧槽 昨晚刚啃的生肉乐的不亦乐乎。
18,匿名的阿婆主,姆爷是几个意思？
17,飞来云,片尾彩蛋屌炸天
16,klitor,（￣▽￣）.
15,亞瑞斯,真的好好笑,當發現上了隊長的女兒的時候ε=ε=(ノ≧∇≦)ノ
