152,2ez4rtz,你这属于高端黑腾讯吗。。
151,南风过千山,真正的悖论是第一次来地球为了救朋友，但是之前没来过地球怎么交上的朋友？或许有人觉得外星人无所不能，能隔空传递信息自带跨星球聊天软件，但我觉得这种软科幻为了争论而争论实在无感。
150,南风过千山,face book也和谐？
149,南风过千山,回复 @改个名字还要六硬币 :我看的是第一次来地球就是为了救他朋友，这是他和医生说的。我就想问问之前没来过地球怎么就交上了农夫这个朋友，莫非是F***人这么认真啊，电影而已。          
148,改个名字还要六硬币,农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线农夫看不见紫外线
147,改个名字还要六硬币,回复 @南风过千山 :人家外星人以前就来过地球了，这是第二次了，还有他是精神寄存者，没有带着肉体在宇宙里乱飞啊，最后还有，农夫和外星人怎么成为朋友你也要管？
146,流天黑月,从电影结局来说给了人们一个很好的幻想就是是否真的存在K—PAX星人。
无论是从情感上还是从逻辑上我都觉得K—PAX星人在这部电影是存在的。
这部电影很有趣，有趣的开头，以K—PAX星人的悬疑为主线，其实主要更多的是讲关于治愈类型的事。其实比起认同这部电影是悬疑片我更觉得这部电影倾向治愈片比较多一点。
总之结局很美好，整部电影除了对伯特的催眠外起伏不大，但是相反这种平淡却让人感到满满的治愈
145,落单的大铁头,然而对于硬派科幻爱好者来说并没有什么卵用
144,落单的大铁头,我今年16岁，没事喜欢玩逆战和穿越，当然也玩lol，不过是青铜（只玩排位）

电影有很多不懂的东西，我认为他有两条自相矛盾的线，老师说这样是不对的，作文要得0分的，外国人真是傻，连故事都讲不清楚，你只要反复强调一下一开始男主角对医生说的：“你放心，我不会寄生在你身上。”然后把bess的：“我知道你就是青鸟。”的台词分给每一个精神病人，在把她的那幅画后面加上愚蠢的地球人，我与你们不同哇哈哈哈，然后再给主角的台词：“你要帮我好好照顾他”配上一个意味深长的眼神的bgm，然后再离开，在离开，不好意思唱起来了，就连键盘侠也能看出来有暗示他是外星人了，然后我回去玩我的游戏，你们就别比智商了
143,haidai2014,电影好棒，好像让外星人带走，不过也许叶公好龙
142,膜蛙永恒,回复 @裸考菊花怪 :还有非常嫌疑犯，悬疑经典
141,兏亇,是外星人啊 没有疑问
140,不具名的莫邶,我记得初中的时候有首歌叫k pax星球来着。。
139,ALEN0XU,肛泄楼主
138,伪哲人,比来自地球的某神棍多了很多观赏性
137,南风过千山,那我问问你在外星人来地球之前，一个农夫是怎么就和外星人成为好朋友的？还有你肉身怎么超光速的？你说说看？
136,月饼233,回复 @上杉桜 :狗语真有可能实现么
135,改个名字还要六硬币,你们说他在消失4年学的天文知识，但是电影里说的是要靠天文望远镜才发现的书上查不到的东西啊、这个也就算了，我就问你们一句：你见过那个农夫看的到紫外线的？(〜￣△￣)〜
134,夜樱草,nice!!!!!!(´；ω；`)
133,木木José,强迫别人相信是外星人的 泥萌是邪教么 本来就是开放式结局 那些关于K星的设定跟农场这位的遭遇很巧合地对应了 这又怎么解释(〜￣△￣)〜
132,ghjnbvffyukm,相信他是外星人
131,hata大人,神作，看哭了...
130,奶奶楼主,只有外星人能够完美解释
129,萌你满脸血,不要调戏进度条
128,德德德德德古拉,回复 @宫森あおい :好棒！！我爱你！！(｡･ω･｡)
127,宫森あおい,回复 @别开炮自己人 :(〜￣△￣)〜
126,宫森あおい,ost【flac】pan.baidu.com/s/1c01yhfq 解压密码：r9bT7lSAbvONPJHmPK8hcN3WD
125,别开炮自己人,谢谢分享，正打算去找
124,潜行的包大人,说错。。是坡特
123,潜行的包大人,他只是不想带走bess。。毕竟那个是他朋友。。占着身体没意义。。也没有得他的同意。。留在地球是最好的选择。
121,苏神生吃伊万,既然他可以消失三天，那贝斯也可以
120,苏神生吃伊万,但是消失的那三天也解释了为什么贝斯会消失
119,某不科学的兔子,发个评论，不得不说，这是个很有趣的电影啊
118,逢坂家大河君,这是一部很有趣的电影，有趣之处就在于这是一部不能去解读的电影，为什么？简单的分析一下。这部电影的最大分歧无在乎porte究竟是双重人格的病人还是拥有附身能力的外星人，那我们先从病人线进行分析。
病人线也就是跟随医生的角度去一步一步揭露porte的过去，我们发现porte的家人被人凶残的杀害致使porte出现了严重的精神问题，他企图自杀但没有成功，并以kpax星人的人格进行生活。所以他才会对推秋千那么熟悉，所以他才会在催眠下表现出痛苦，所以他才会洒水器产生恐惧，病人线让这一切符合逻辑但同时产生了很多疑点。第一，他为什么能看到紫外线；第二，他为什么能画出连天文学家都无法知道的星轨；第三，他如何从病院消失三天而不被人发现并且后来bess也消失了；第四，他怎么通过狗知道了医生家的琐事。而这些疑点是病人线很难解释的，当然如果硬要解释的话我们可以说porte是个天才能算出星轨，他变异了所以能看到紫外线，能通过调查医院的设计图找到从其中逃出而不被人发现的办法等等。
我们来看一下外星人线，首先我们假定porte就是被kpax星人附身，那么这么一来所有的一切都顺理成章，紫外线，k星轨，神秘消失，和狗的对话等等。但这恰恰是一个图灵悖论，即抛开都能够勉强解释的奇异现象，只通过人物对白来判断，当电影世界和现实世界同时表达同样的对白，如果我们因为这些对白得出了电影中有kpax星人的结论，是否也可以代表我们承认现实中存在kpax星人，如果不能，那我们也不能用外星人线来解读电影剧情。
所以我们承认porte是病人那电影就很谜，如果承认有外星人那就存在悖论，这便是这部电影不能被解读的原因。不过这也是这部电影的魅力所在，正如porte最后所说的“要我承认我有可能是罗伯波特，除非你承认我有可能是K－PAX人”。

